player_id,name,recent_team,season,week,position_wr,position_te,season_tot_receptions,season_tot_targets,season_tot_receiving_yards,season_tot_receiving_tds,season_tot_receiving_air_yards,season_avg_racr,season_avg_tgt_share,season_avg_air_yards_share,season_avg_wopr,season_avg_fantasy_points_ppr,recent_racr,recent_tgt_share,recent_air_yards_share,recent_wopr,recent_fantasy_points_ppr,career_fpts,actual_fantasy_pts
00-0036900,Ja'Marr Chase,CIN,2022,5,1,0,25,41,293,2,400,0.73,0.26,0.35,0.64,16.13,0.41,0.25,0.36,0.62,11.87,17.60,12.10
00-0036912,DeVonta Smith,PHI,2022,5,1,0,18,27,266,1,319,0.83,0.23,0.33,0.57,12.65,0.83,0.26,0.35,0.64,16.87,11.28,4.70
00-0036936,Rondale Moore,ARI,2022,5,1,0,3,5,11,0,58,0.19,0.16,0.32,0.47,3.70,0.19,0.16,0.32,0.47,3.70,7.69,3.70
00-0036613,Jaylen Waddle,MIA,2022,5,1,0,21,35,381,3,388,0.98,0.26,0.33,0.61,19.70,0.80,0.28,0.36,0.68,20.37,16.33,5.90
00-0036630,Tylan Wallace,BAL,2022,5,1,0,1,3,9,0,43,0.21,0.05,0.06,0.12,0.95,0.21,0.05,0.06,0.12,0.95,1.03,1.90
00-0036963,Amon-Ra St. Brown,DET,2022,5,1,0,23,33,253,3,196,1.29,0.31,0.21,0.60,24.37,1.29,0.31,0.21,0.60,24.37,15.81,13.30
00-0036980,Elijah Moore,NYJ,2022,5,1,0,15,25,192,0,367,0.52,0.14,0.25,0.38,8.45,0.39,0.14,0.26,0.40,7.97,11.47,8.50
00-0036913,Kadarius Toney,NYG,2022,5,1,0,2,3,0,0,-7,0.00,0.06,-0.02,0.07,2.15,0.00,0.06,-0.02,0.07,2.15,7.88,2.00
00-0036554,Nico Collins,HOU,2022,5,1,0,11,21,207,0,309,0.67,0.15,0.30,0.43,7.92,0.59,0.17,0.35,0.51,9.03,6.41,11.20
00-0036626,Dyami Brown,WAS,2022,5,1,0,1,4,6,0,69,0.09,0.10,0.23,0.31,1.60,0.09,0.10,0.23,0.31,1.60,2.97,1.60
00-0036550,Rashod Bateman,BAL,2022,5,1,0,11,22,243,2,317,0.77,0.19,0.30,0.50,11.32,0.58,0.20,0.30,0.51,10.47,9.30,4.70
00-0036999,Anthony Schwartz,CLE,2022,5,1,0,1,2,19,0,20,0.95,0.07,0.09,0.16,4.90,0.95,0.07,0.09,0.16,4.90,2.95,4.90
00-0036572,Shi Smith,CAR,2022,5,1,0,4,13,36,0,106,0.34,0.12,0.14,0.27,1.90,0.23,0.11,0.14,0.27,1.80,2.63,0.00
00-0036849,Tutu Atwell,LA,2022,5,1,0,0,2,0,0,58,0.00,0.03,0.13,0.13,0.00,0.00,0.03,0.13,0.13,0.00,0.00,0.00
00-0036620,D'Wayne Eskridge,SEA,2022,5,1,0,3,4,16,0,6,2.67,0.05,0.01,0.08,1.73,2.67,0.05,0.01,0.08,1.73,3.05,2.60
