name,fantasy_points_ppr
Tony Pollard,14.600000381469727
AJ Dillon,3.4000000953674316
Anthony Schwartz,0
Craig Reynolds,12.199999809265137
Tevin Coleman,21.700000762939453
Alvin Kamara,23.399999618530273
Michael Dickson,-0.800000011920929
Braxton Berrios,8.399999618530273
Michael Carter,17.299999237060547
Avery Williams,10.100000381469727
Damien Harris,2.200000047683716
Jalen Reagor,7.099999904632568
Tre'Quan Smith,2
Tylan Wallace,1.7999999523162842
J.K. Dobbins,4.400000095367432
Donovan Peoples-Jones,9
Chris Manhertz,3.5
Zach Gentry,9.300000190734863
Austin Ekeler,35.900001525878906
Irv Smith Jr.,8.199999809265137
Kalif Raymond,9.5
Richie James,3.5999999046325684
Corey Davis,5.800000190734863
Durham Smythe,7.900000095367432
Robert Woods,7.699999809265137
Mark Andrews,22.899999618530273
Evan Engram,12.899999618530273
Justin Watson,2
Brandon Bolden,6.400000095367432
Bryan Edwards,2
Gerald Everett,1.2000000476837158
Jeff Smith,2.0999999046325684
Dontrell Hilliard,12.300000190734863
Harrison Bryant,0
Marcedes Lewis,7.199999809265137
JuJu Smith-Schuster,6.300000190734863
Christian Kirk,2.0999999046325684
Terrace Marshall,7
Rondale Moore,13.100000381469727
J.D. McKissic,8.699999809265137
Diontae Johnson,11
Kendrick Bourne,1
Deebo Samuel,11.199999809265137
George Kittle,7.699999809265137
DK Metcalf,17.799999237060547
James Proche,1.7000000476837158
Rashaad Penny,5.400000095367432
Devin Singletary,5.599999904632568
KhaDarel Hodge,8.300000190734863
O.J. Howard,0
Mason Schreck,1.600000023841858
Aaron Jones,10
Geno Smith,24.020000457763672
Marquez Valdes-Scantling,15
Cole Kmet,8.5
Travis Kelce,33.5
Nyheim Hines,1.7999999523162842
Hayden Hurst,17.299999237060547
Jacoby Brissett,14.399999618530273
Mike Thomas,4.300000190734863
Derek Carr,17.940000534057617
Davis Mills,5.800000190734863
Deon Jackson,13.100000381469727
Giovanni Ricci,5.699999809265137
Khalil Herbert,1.100000023841858
Jakobi Meyers,24.100000381469727
Zach Ertz,10.800000190734863
Tyrie Cleveland,0
Darnell Mooney,7.199999809265137
Daniel Jones,12.380000114440918
Michael Pittman,10.899999618530273
Miles Sanders,8.399999618530273
Olamide Zaccheaus,11.899999618530273
Mike Davis,0.30000001192092896
Kenyan Drake,3.700000047683716
Marcus Johnson,6.5
Jamal Agnew,0.30000001192092896
Marquez Callaway,2.5
Ashton Dulin,2.799999952316284
Josh Jacobs,30.299999237060547
Tre' McKitty,0
Lamar Jackson,14.760000228881836
Josiah Deguara,3.9000000953674316
Nick Chubb,25.399999618530273
Justin Jefferson,30.31999969482422
Christian McCaffrey,23.399999618530273
