player_id,name,recent_team,season,week,years_exp,position_wr,position_te,season_tot_receptions,season_tot_targets,season_tot_receiving_yards,season_tot_receiving_tds,season_tot_receiving_air_yards,season_avg_racr,season_avg_tgt_share,season_avg_air_yards_share,season_avg_wopr,season_avg_fantasy_points_ppr,recent_racr,recent_tgt_share,recent_air_yards_share,recent_wopr,recent_fantasy_points_ppr,lw_fpts,lw_wopr,career_fpts,actual_fantasy_pts
00-0024243,Marcedes Lewis,GB,2022,6,16,0,1,1,1,2,1,2,1.00,0.03,0.01,0.04,7.20,1.00,0.03,0.01,0.04,7.20,7.20,0.04,5.83,7.20
00-0027942,A.J. Green,ARI,2022,6,11,1,0,8,18,49,0,194,0.25,0.10,0.17,0.27,3.72,0.19,0.10,0.18,0.27,3.87,5.00,0.39,14.54,5.00
00-0027944,Julio Jones,TB,2022,6,11,1,0,4,7,76,0,161,0.47,0.09,0.26,0.31,6.65,0.47,0.09,0.26,0.31,6.65,1.70,0.17,17.98,1.70
00-0027981,Kyle Rudolph,TB,2022,6,11,0,1,1,2,12,0,12,1.00,0.02,0.02,0.05,1.10,1.00,0.02,0.02,0.05,1.10,0.00,0.03,8.16,0.00
00-0028002,Randall Cobb,GB,2022,6,11,1,0,17,25,249,0,279,0.89,0.15,0.25,0.40,8.38,0.71,0.18,0.26,0.45,10.60,16.90,0.79,11.90,16.90
00-0029000,Cole Beasley,TB,2022,6,10,1,0,4,5,17,0,12,1.42,0.05,0.02,0.10,2.85,1.42,0.05,0.02,0.10,2.85,1.50,0.02,8.94,1.50
00-0029293,Marvin Jones,JAX,2022,6,10,1,0,18,30,208,1,395,0.53,0.17,0.29,0.46,8.96,0.35,0.18,0.29,0.47,10.23,17.40,0.59,11.99,17.40
00-0029664,Josh Gordon,TEN,2022,6,10,1,0,0,1,0,0,12,0.00,0.04,0.06,0.11,0.00,0.00,0.04,0.06,0.11,0.00,0.00,0.11,11.11,0.00
00-0030035,Adam Thielen,MIN,2022,6,8,1,0,25,35,248,1,300,0.83,0.19,0.26,0.46,11.16,0.53,0.22,0.26,0.51,13.33,6.70,0.43,13.26,6.70
00-0030061,Zach Ertz,ARI,2022,6,9,0,1,28,41,229,2,273,0.84,0.20,0.21,0.44,12.98,0.51,0.21,0.24,0.48,12.67,10.80,0.63,11.73,10.80
00-0030068,Marquise Goodwin,SEA,2022,6,9,1,0,4,8,53,0,94,0.56,0.08,0.13,0.21,3.10,0.56,0.08,0.13,0.21,3.10,5.10,0.29,6.31,5.10
00-0030108,Ryan Griffin,CHI,2022,6,9,0,1,2,5,19,0,48,0.40,0.07,0.07,0.15,0.97,0.40,0.05,0.04,0.10,1.30,0.00,0.07,5.25,0.00
00-0030279,Keenan Allen,LAC,2022,6,9,1,0,4,4,66,0,52,1.27,0.12,0.22,0.33,10.60,1.27,0.12,0.22,0.33,10.60,10.60,0.33,16.25,10.60
00-0030431,Robert Woods,TEN,2022,6,9,1,0,17,28,204,1,233,0.88,0.23,0.24,0.51,8.68,0.65,0.30,0.33,0.68,11.07,7.70,0.67,12.45,7.70
00-0030506,Travis Kelce,KC,2022,6,9,0,1,33,42,347,7,321,1.08,0.23,0.24,0.51,22.36,0.55,0.24,0.20,0.50,25.20,33.50,0.42,16.24,33.50
00-0031236,Brandin Cooks,HOU,2022,6,8,1,0,24,42,235,1,343,0.69,0.26,0.29,0.59,10.70,0.29,0.22,0.22,0.49,9.63,6.00,0.51,14.16,6.00
00-0031260,Logan Thomas,WAS,2022,6,8,0,1,13,20,106,1,167,0.63,0.12,0.13,0.27,7.40,0.37,0.11,0.09,0.23,7.37,6.90,0.26,6.55,6.90
00-0031273,Cameron Brate,TB,2022,6,8,0,1,11,19,100,0,118,0.85,0.13,0.10,0.26,5.25,0.79,0.13,0.12,0.28,6.43,7.20,0.31,7.00,7.20
00-0031325,Sammy Watkins,GB,2022,6,8,1,0,6,7,111,0,72,1.54,0.12,0.21,0.32,8.55,1.54,0.12,0.21,0.32,8.55,12.30,0.59,11.01,12.30
00-0031381,Davante Adams,LV,2022,6,8,1,0,29,54,414,5,592,0.70,0.31,0.40,0.75,20.08,0.44,0.31,0.36,0.71,20.37,27.40,0.75,17.18,27.40
00-0031382,Jarvis Landry,NO,2022,6,8,1,0,15,21,168,0,226,0.74,0.15,0.14,0.33,8.45,0.24,0.11,0.08,0.22,5.13,4.70,0.12,14.03,4.70
00-0031384,Richard Rodgers,LAC,2022,6,8,0,1,0,1,0,0,1,0.00,0.03,0.00,0.05,0.00,0.00,0.03,0.00,0.05,0.00,0.00,0.05,6.28,0.00
00-0031408,Mike Evans,TB,2022,6,8,1,0,20,29,316,3,381,0.83,0.18,0.30,0.48,17.40,0.64,0.16,0.30,0.45,17.17,12.10,0.46,16.34,12.10
00-0031428,Allen Robinson,LA,2022,6,8,1,0,12,23,107,1,221,0.48,0.12,0.17,0.30,5.74,0.19,0.14,0.19,0.34,3.73,4.20,0.25,13.56,4.20
00-0031484,Chris Manhertz,JAX,2022,6,6,0,1,3,3,15,0,3,5.00,0.04,0.00,0.07,2.25,5.00,0.04,0.00,0.07,2.25,3.50,0.08,2.23,3.50
00-0031544,Amari Cooper,CLE,2022,6,7,1,0,27,43,304,3,447,0.68,0.28,0.39,0.69,15.08,0.42,0.28,0.38,0.68,15.20,20.60,0.85,14.02,20.60
00-0031547,DeVante Parker,NE,2022,6,7,1,0,8,16,189,1,304,0.62,0.14,0.28,0.40,8.22,0.59,0.16,0.34,0.48,10.33,10.40,0.23,10.96,10.40
00-0031549,Nelson Agholor,NE,2022,6,7,1,0,14,19,225,1,259,0.87,0.14,0.20,0.35,7.70,0.34,0.11,0.20,0.31,3.90,0.00,0.12,8.61,0.00
00-0031588,Stefon Diggs,BUF,2022,6,7,1,0,39,52,508,5,532,0.95,0.26,0.34,0.63,23.96,0.45,0.22,0.28,0.53,16.27,24.20,0.64,16.08,24.20
00-0031610,Darren Waller,LV,2022,6,7,0,1,16,24,175,1,273,0.64,0.17,0.23,0.41,9.87,0.35,0.16,0.22,0.40,9.20,5.40,0.46,11.89,5.40
00-0031690,Eric Tomlinson,DEN,2022,6,7,0,1,0,2,0,0,17,0.00,0.03,0.03,0.06,0.00,0.00,0.03,0.03,0.06,0.00,0.00,0.07,2.10,0.00
00-0031763,DeAndre Carter,LAC,2022,6,7,1,0,13,16,175,1,162,1.08,0.08,0.13,0.22,7.20,0.35,0.08,0.07,0.17,4.03,2.90,0.10,5.54,2.90
