BEST PARAMS: {'max_depth': 16, 'n_estimators': 200}

0.251 (+/-0.024) for {'max_depth': 2, 'n_estimators': 5}
0.253 (+/-0.024) for {'max_depth': 2, 'n_estimators': 10}
0.255 (+/-0.024) for {'max_depth': 2, 'n_estimators': 50}
0.255 (+/-0.022) for {'max_depth': 2, 'n_estimators': 100}
0.256 (+/-0.022) for {'max_depth': 2, 'n_estimators': 200}
0.291 (+/-0.024) for {'max_depth': 4, 'n_estimators': 5}
0.293 (+/-0.025) for {'max_depth': 4, 'n_estimators': 10}
0.295 (+/-0.022) for {'max_depth': 4, 'n_estimators': 50}
0.295 (+/-0.022) for {'max_depth': 4, 'n_estimators': 100}
0.295 (+/-0.023) for {'max_depth': 4, 'n_estimators': 200}
0.308 (+/-0.027) for {'max_depth': 8, 'n_estimators': 5}
0.316 (+/-0.024) for {'max_depth': 8, 'n_estimators': 10}
0.324 (+/-0.021) for {'max_depth': 8, 'n_estimators': 50}
0.326 (+/-0.02) for {'max_depth': 8, 'n_estimators': 100}
0.326 (+/-0.023) for {'max_depth': 8, 'n_estimators': 200}
0.233 (+/-0.017) for {'max_depth': 16, 'n_estimators': 5}
0.287 (+/-0.028) for {'max_depth': 16, 'n_estimators': 10}
0.327 (+/-0.023) for {'max_depth': 16, 'n_estimators': 50}
0.331 (+/-0.023) for {'max_depth': 16, 'n_estimators': 100}
0.334 (+/-0.022) for {'max_depth': 16, 'n_estimators': 200}
0.198 (+/-0.026) for {'max_depth': 32, 'n_estimators': 5}
0.259 (+/-0.028) for {'max_depth': 32, 'n_estimators': 10}
0.319 (+/-0.023) for {'max_depth': 32, 'n_estimators': 50}
0.327 (+/-0.025) for {'max_depth': 32, 'n_estimators': 100}
0.329 (+/-0.022) for {'max_depth': 32, 'n_estimators': 200}
0.19 (+/-0.033) for {'max_depth': None, 'n_estimators': 5}
0.265 (+/-0.026) for {'max_depth': None, 'n_estimators': 10}
0.317 (+/-0.022) for {'max_depth': None, 'n_estimators': 50}
0.325 (+/-0.025) for {'max_depth': None, 'n_estimators': 100}
0.329 (+/-0.022) for {'max_depth': None, 'n_estimators': 200}
0.34344568720232044
BEST PARAMS: {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}

0.018 (+/-0.0) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5}
0.124 (+/-0.003) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 50}
0.186 (+/-0.005) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 100}
0.026 (+/-0.001) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5}
0.174 (+/-0.004) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}
0.245 (+/-0.009) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}
0.028 (+/-0.001) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 5}
0.19 (+/-0.004) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}
0.265 (+/-0.009) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}
0.03 (+/-0.0) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 5}
0.201 (+/-0.003) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}
0.278 (+/-0.008) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}
0.127 (+/-0.003) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 5}
0.282 (+/-0.018) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50}
0.291 (+/-0.021) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100}
0.178 (+/-0.005) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 5}
0.304 (+/-0.022) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}
0.307 (+/-0.023) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}
0.196 (+/-0.004) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 5}
0.32 (+/-0.022) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}
0.322 (+/-0.021) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}
0.207 (+/-0.005) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 5}
0.329 (+/-0.028) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}
0.326 (+/-0.03) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}
0.248 (+/-0.023) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 5}
0.286 (+/-0.024) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 50}
0.288 (+/-0.024) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 100}
0.278 (+/-0.025) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 5}
0.25 (+/-0.034) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 50}
0.207 (+/-0.04) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}
0.272 (+/-0.047) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 5}
0.121 (+/-0.056) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}
0.006 (+/-0.061) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}
0.221 (+/-0.034) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 5}
-0.112 (+/-0.054) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 50}
-0.256 (+/-0.051) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 100}
0.3433078445006727
